person_id,first_name,last_name,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag
51,Mahmoud,Abdul-Rauf,Mahmoud Abdul-Rauf,"Abdul-Rauf, Mahmoud",M. Abdul-Rauf,mahmoud-abdul-rauf,1969-03-09 00:00:00,Louisiana State,USA,Louisiana State/USA,6-1,162,9.0,1,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,mahmoud_abdul-rauf,1990.0,2000.0,N,Y,Y,1990,1,3,N
1505,Tariq,Abdul-Wahad,Tariq Abdul-Wahad,"Abdul-Wahad, Tariq",T. Abdul-Wahad,tariq-abdul-wahad,1974-11-03 00:00:00,San Jose State,France,San Jose State/France,6-6,235,7.0,9,Forward-Guard,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,tariq_abdul-wahad,1997.0,2003.0,N,Y,Y,1997,1,11,N
76007,John,Abramovic,John Abramovic,"Abramovic, John",J. Abramovic,john-abramovic,1919-02-09 00:00:00,Salem,USA,Salem/USA,6-3,195,2.0,,Forward,Inactive,N,1610610031,Ironmen,PIT,ironmen,Pittsburgh,HISTADD_brooms_abramovic,1946.0,1947.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
203112,Quincy,Acy,Quincy Acy,"Acy, Quincy",Q. Acy,quincy-acy,1990-10-06 00:00:00,Baylor,USA,Baylor/USA,6-7,240,7.0,,Forward,Inactive,N,0,,,,,quincy_acy,2012.0,2018.0,Y,Y,Y,2012,2,37,N
200801,Hassan,Adams,Hassan Adams,"Adams, Hassan",H. Adams,hassan-adams,1984-06-20 00:00:00,Arizona,USA,Arizona/USA,6-4,220,2.0,,Forward,Inactive,N,0,,,,,hassan_adams,2006.0,2008.0,N,Y,Y,2006,2,54,N
203919,Jordan,Adams,Jordan Adams,"Adams, Jordan",J. Adams,jordan-adams,1994-07-08 00:00:00,UCLA,USA,UCLA/USA,6-5,209,3.0,3,Guard,Inactive,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,jordan_adams,2014.0,2015.0,Y,Y,Y,2014,1,22,N
912,Rafael,Addison,Rafael Addison,"Addison, Rafael",R. Addison,rafael-addison,1964-07-22 00:00:00,Syracuse,USA,Syracuse/USA,6-8,241,6.0,7,Forward,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,rafael_addison,1986.0,1996.0,N,Y,Y,1986,2,39,N
201336,Blake,Ahearn,Blake Ahearn,"Ahearn, Blake",B. Ahearn,blake-ahearn,1984-05-27 00:00:00,Missouri State,USA,Missouri State/USA,6-2,190,4.0,2,Guard,Inactive,N,1610612748,Heat,MIA,heat,Miami,blake_ahearn,2007.0,2011.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
202374,Solomon,Alabi,Solomon Alabi,"Alabi, Solomon",S. Alabi,solomon-alabi,1988-03-21 00:00:00,Florida State,Nigeria,Florida State/Nigeria,7-1,252,3.0,50,Center,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,solomon_alabi,2010.0,2011.0,Y,Y,Y,2010,2,50,N
76019,Mark,Alarie,Mark Alarie,"Alarie, Mark",M. Alarie,mark-alarie,1963-12-11 00:00:00,Duke,USA,Duke/USA,6-8,217,5.0,31,Forward,Inactive,N,1610612764,Bullets,WAS,wizards,Washington,HISTADD_mark_alarie,1986.0,1990.0,N,Y,Y,1986,1,18,N
203128,Furkan,Aldemir,Furkan Aldemir,"Aldemir, Furkan",F. Aldemir,furkan-aldemir,1991-08-09 00:00:00,Galatasaray,Turkey,Galatasaray/Turkey,6-10,240,2.0,19,Forward-Center,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,furkan_aldemir,2014.0,2014.0,N,Y,Y,2012,2,53,N
200746,LaMarcus,Aldridge,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,lamarcus-aldridge,1985-07-19 00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-11,250,17.0,21,Center-Forward,Inactive,N,1610612751,Nets,BKN,nets,Brooklyn,lamarcus_aldridge,2006.0,2021.0,N,Y,Y,2006,1,2,N
1626146,Cliff,Alexander,Cliff Alexander,"Alexander, Cliff",C. Alexander,cliff-alexander,1995-11-16 00:00:00,Kansas,USA,Kansas/USA,6-8,240,2.0,34,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,cliff_alexander,2015.0,2015.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
76022,Gary,Alexander,Gary Alexander,"Alexander, Gary",G. Alexander,gary-alexander,1969-11-01 00:00:00,South Florida,USA,South Florida/USA,6-7,240,1.0,16,Forward,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,HISTADD_gary_alexander,1993.0,1993.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
1629734,Kyle,Alexander,Kyle Alexander,"Alexander, Kyle",K. Alexander,kyle-alexander,1996-10-21 00:00:00,Tennessee,Canada,Tennessee/Canada,6-10,216,2.0,17,Forward-Center,Inactive,N,1610612748,Heat,MIA,heat,Miami,kyle_alexander,2019.0,2019.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,"Alexander-Walker, Nickeil",N. Alexander-Walker,nickeil-alexander-walker,1998-09-02 00:00:00,Virginia Tech,Canada,Virginia Tech/Canada,6-5,205,3.0,9,Guard,Active,Y,1610612750,Timberwolves,MIN,timberwolves,Minnesota,nickeil_alexander-walker,2019.0,2022.0,Y,Y,Y,2019,1,17,N
1628960,Grayson,Allen,Grayson Allen,"Allen, Grayson",G. Allen,grayson-allen,1995-10-08 00:00:00,Duke,USA,Duke/USA,6-4,198,4.0,12,Guard,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,grayson_allen,2018.0,2022.0,Y,Y,Y,2018,1,21,N
706,Jerome,Allen,Jerome Allen,"Allen, Jerome",J. Allen,jerome-allen,1973-01-28 00:00:00,Pennsylvania,USA,Pennsylvania/USA,6-4,184,2.0,53,Guard,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,jerome_allen,1995.0,1996.0,N,Y,Y,1995,2,49,N
2124,Malik,Allen,Malik Allen,"Allen, Malik",M. Allen,malik-allen,1978-06-27 00:00:00,Villanova,USA,Villanova/USA,6-10,255,11.0,35,Forward,Inactive,N,1610612748,Heat,MIA,heat,Miami,malik_allen,2001.0,2010.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
1824,Peter,Aluma,Peter Aluma,"Aluma, Peter",P. Aluma,peter-aluma,1973-04-26 00:00:00,Liberty,USA,Liberty/USA,6-10,260,1.0,,Center,Inactive,N,0,,,,,peter_aluma,1998.0,1998.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
732,Ashraf,Amaya,Ashraf Amaya,"Amaya, Ashraf",A. Amaya,ashraf-amaya,1971-11-23 00:00:00,Southern Illinois,USA,Southern Illinois/USA,6-8,230,2.0,,Forward,Inactive,N,0,,,,,ashraf_amaya,1995.0,1996.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
76034,Bob,Anderegg,Bob Anderegg,"Anderegg, Bob",B. Anderegg,bob-anderegg,1937-08-24 00:00:00,Michigan State,USA,Michigan State/USA,6-3,200,1.0,18,Forward,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_bob_anderegg,1959.0,1959.0,N,Y,Y,1959,3,20,N
2365,Chris,Andersen,Chris Andersen,"Andersen, Chris",C. Andersen,chris-andersen,1978-07-07 00:00:00,Blinn J.C.,USA,Blinn J.C./USA,6-10,245,15.0,,Forward-Center,Inactive,N,0,,,,,chris_andersen,2001.0,2016.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
101187,Alan,Anderson,Alan Anderson,"Anderson, Alan",A. Anderson,alan-anderson,1982-10-16 00:00:00,Michigan State,USA,Michigan State/USA,6-6,220,9.0,9,Forward-Guard,Inactive,N,1610612751,Nets,BKN,nets,Brooklyn,alan_anderson,2005.0,2016.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
202079,Antonio,Anderson,Antonio Anderson,"Anderson, Antonio",A. Anderson,antonio-anderson,1985-06-05 00:00:00,Memphis,USA,Memphis/USA,6-6,215,2.0,,Guard,Inactive,N,0,,,,,antonio_anderson,2009.0,2009.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
76035,Cliff,Anderson,Cliff Anderson,"Anderson, Cliff",C. Anderson,cliff-anderson,1944-09-07 00:00:00,St. Joseph's (PA),USA,St. Joseph's (PA)/USA,6-2,200,3.0,26,Guard,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_cliff_anderson,1967.0,1970.0,N,Y,Y,1967,4,35,N
76036,Daniel,Anderson,Daniel Anderson,"Anderson, Daniel",D. Anderson,daniel-anderson,1951-01-01 00:00:00,Southern California,USA,Southern California/USA,6-2,185,2.0,33,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_daniel_anderson,1974.0,1975.0,N,Y,Y,1974,6,92,N
1626147,Justin,Anderson,Justin Anderson,"Anderson, Justin",J. Anderson,justin-anderson,1993-11-19 00:00:00,Virginia,USA,Virginia/USA,6-5,231,7.0,,Forward-Guard,Inactive,N,0,,,,,justin_anderson,2015.0,2021.0,Y,Y,Y,2015,1,21,N
72,Kenny,Anderson,Kenny Anderson,"Anderson, Kenny",K. Anderson,kenny-anderson,1970-10-09 00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-1,168,14.0,,Guard,Inactive,N,0,,,,,kenny_anderson,1991.0,2004.0,N,Y,Y,1991,1,2,N
203937,Kyle,Anderson,Kyle Anderson,"Anderson, Kyle",K. Anderson,kyle-anderson,1993-09-20 00:00:00,UCLA,USA,UCLA/USA,6-9,230,8.0,5,Forward-Guard,Active,Y,1610612750,Timberwolves,MIN,timberwolves,Minnesota,kyle_anderson,2014.0,2022.0,Y,Y,Y,2014,1,30,N
