team_name,team_abbreviation,season_id,team_id_pre,wl_pre,fgm_pre,fga_pre,fg_pct_pre,fg3m_pre,fg3a_pre,fg3_pct_pre,ftm_pre,fta_pre,ft_pct_pre,oreb_pre,dreb_pre,reb_pre,ast_pre,stl_pre,blk_pre,tov_pre,pf_pre,pts_pre,plus_minus_pre,game_id_pre,games_played_pre,team_id_post,wl_post,fgm_post,fga_post,fg_pct_post,fg3m_post,fg3a_post,fg3_pct_post,ftm_post,fta_post,ft_pct_post,oreb_post,dreb_post,reb_post,ast_post,stl_post,blk_post,tov_post,pf_post,pts_post,plus_minus_post,game_id_post,games_played_post,winner,mvp_number,all_defensive,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,playoff_eff,pretrade_eff,posttrade_eff,elo_score,all_star_number
Atlanta Hawks,ATL,21990,1610612737.0,0.5384615384615384,40.86538461538461,87.32692307692308,0.4691153846153846,3.3846153846153846,10.115384615384615,0.31898076923076923,24.384615384615383,30.576923076923077,0.7977115384615385,14.423076923076923,29.673076923076923,44.09615384615385,23.5,9.134615384615385,4.75,15.173076923076923,21.5,109.5,0.8846153846153846,29000348.730769232,52.0,1610612737.0,0.5,40.8,89.4,0.4572333333333333,3.1666666666666665,10.333333333333334,0.3035333333333333,25.533333333333335,31.8,0.8006333333333333,16.166666666666668,29.233333333333334,45.4,21.4,8.466666666666667,4.233333333333333,14.0,21.666666666666668,110.3,0.5666666666666667,29000897.566666666,30.0,0,0,0,5,240.0,33.0,82.6,0.4,2.6,10.4,0.25,30.4,72.2,0.421,28.6,34.4,0.831,15.0,29.2,44.2,16.8,6.6,2.8,11.6,23.4,97.2,100.60000000000004,123.15384615384617,120.93333333333334,1538.5638211122375,1
Atlanta Hawks,ATL,21992,1610612737.0,0.5,40.36363636363637,87.95454545454545,0.45997727272727273,4.090909090909091,11.522727272727273,0.35975,20.5,28.0,0.73075,15.931818181818182,27.613636363636363,43.54545454545455,24.727272727272727,10.454545454545455,3.590909090909091,16.227272727272727,23.477272727272727,105.31818181818181,-2.6818181818181817,29200291.75,44.0,1610612737.0,0.5526315789473685,42.526315789473685,89.52631578947368,0.4752368421052632,5.315789473684211,14.973684210526315,0.3516315789473684,19.63157894736842,26.026315789473685,0.7482368421052632,15.5,29.710526315789473,45.21052631578947,26.210526315789473,9.105263157894736,3.1578947368421053,15.236842105263158,20.36842105263158,110.0,1.236842105263158,29200839.710526317,38.0,0,0,0,3,240.0,35.7,83.3,0.428,3.3,12.0,0.278,32.3,71.3,0.453,18.7,26.3,0.709,15.3,23.3,38.7,16.3,8.0,3.7,15.3,23.3,93.3,89.50000000000001,116.31818181818184,125.0526315789474,1484.5265885952017,1
Atlanta Hawks,ATL,21993,1610612737.0,0.6923076923076923,39.59615384615385,86.59615384615384,0.45719230769230773,4.0,11.692307692307692,0.3426730769230769,20.03846153846154,25.98076923076923,0.7743269230769231,15.807692307692308,28.76923076923077,44.57692307692308,24.51923076923077,11.365384615384615,5.423076923076923,14.48076923076923,19.48076923076923,103.23076923076923,5.884615384615385,29300361.75,52.0,1610612737.0,0.7,39.6,84.53333333333333,0.4685333333333333,2.0,7.4,0.29383333333333334,17.133333333333333,23.966666666666665,0.7175999999999999,14.266666666666667,30.9,45.166666666666664,26.033333333333335,10.8,5.566666666666666,15.066666666666666,20.4,98.33333333333333,4.2,29300903.266666666,30.0,0,0,1,11,240.0,34.9,80.1,0.436,2.8,8.9,0.316,32.1,71.2,0.451,17.7,24.0,0.739,14.0,26.5,40.5,23.9,8.2,5.3,13.9,24.9,90.4,102.90000000000002,121.69230769230774,119.06666666666666,1615.1317745156243,1
Atlanta Hawks,ATL,21994,1610612737.0,0.4716981132075472,36.0,80.84905660377359,0.44560377358490566,6.09433962264151,17.9811320754717,0.3377169811320755,17.20754716981132,23.566037735849058,0.7303207547169811,13.528301886792454,27.32075471698113,40.84905660377358,21.150943396226417,8.754716981132075,5.2075471698113205,14.773584905660377,22.37735849056604,95.30188679245283,0.49056603773584906,29400341.660377357,53.0,1610612737.0,0.5862068965517241,37.172413793103445,82.58620689655173,0.4496896551724138,7.448275862068965,21.620689655172413,0.3466551724137931,17.17241379310345,24.103448275862068,0.732448275862069,13.344827586206897,28.413793103448278,41.758620689655174,21.93103448275862,9.448275862068966,4.689655172413793,13.724137931034482,21.310344827586206,98.96551724137932,2.7241379310344827,29400907.931034483,29.0,0,0,1,3,240.0,29.7,75.7,0.392,7.3,22.3,0.328,22.3,53.3,0.419,22.7,31.0,0.731,12.3,26.7,39.0,14.7,8.3,2.7,13.0,28.3,89.3,86.7,105.2830188679245,110.72413793103443,1533.0071900530745,2
Atlanta Hawks,ATL,21995,1610612737.0,0.5384615384615384,36.78846153846154,82.46153846153847,0.44692307692307687,6.865384615384615,19.25,0.35534615384615387,18.173076923076923,24.26923076923077,0.7454615384615385,14.384615384615385,26.03846153846154,40.42307692307692,19.692307692307693,9.5,3.7884615384615383,14.307692307692308,22.192307692307693,98.61538461538461,0.4230769230769231,29500373.96153846,52.0,1610612737.0,0.6,35.733333333333334,79.23333333333333,0.45103333333333334,6.966666666666667,19.8,0.35419999999999996,19.266666666666666,25.0,0.7675333333333333,14.466666666666667,26.466666666666665,40.93333333333333,19.5,9.233333333333333,4.066666666666666,14.633333333333333,18.666666666666668,97.7,2.6,29500973.033333335,30.0,0,0,1,10,242.5,33.6,75.7,0.444,7.6,20.6,0.369,26.0,55.1,0.472,17.9,24.4,0.734,12.6,23.3,35.9,19.8,8.4,5.3,14.0,22.2,92.7,99.50000000000003,105.9423076923077,107.56666666666663,1544.0897159285846,0
Atlanta Hawks,ATL,21996,1610612737.0,0.6666666666666666,34.21568627450981,77.3921568627451,0.44262745098039213,7.980392156862745,22.098039215686274,0.3563137254901961,17.431372549019606,22.92156862745098,0.7677450980392158,12.529411764705882,29.11764705882353,41.64705882352941,18.15686274509804,7.8431372549019605,5.431372549019608,14.705882352941176,19.215686274509803,93.84313725490196,5.117647058823529,29600378.274509802,51.0,1610612737.0,0.7096774193548387,34.41935483870968,76.12903225806451,0.45248387096774195,8.129032258064516,22.806451612903224,0.35670967741935483,19.419354838709676,25.35483870967742,0.757,12.32258064516129,27.903225806451612,40.225806451612904,20.35483870967742,9.709677419354838,4.838709677419355,15.419354838709678,19.70967741935484,96.38709677419355,5.967741935483871,29600964.387096774,31.0,0,0,2,10,240.0,30.9,70.8,0.436,6.9,21.9,0.315,24.0,48.9,0.491,20.3,26.1,0.778,11.0,29.0,40.0,15.4,4.5,4.3,16.1,19.9,89.0,91.4,103.54901960784316,108.45161290322581,1607.8511511763195,0
Atlanta Hawks,ATL,21997,1610612737.0,0.5740740740740741,34.68518518518518,77.44444444444444,0.4487407407407407,3.3518518518518516,11.037037037037036,0.2873148148148148,21.462962962962962,28.0,0.7638518518518518,13.277777777777779,29.462962962962962,42.74074074074074,18.685185185185187,7.388888888888889,6.296296296296297,14.814814814814815,20.74074074074074,94.18518518518519,1.7962962962962963,29700381.074074075,54.0,1610612737.0,0.6785714285714286,36.214285714285715,77.5,0.4682857142857143,5.571428571428571,15.0,0.36810714285714285,21.071428571428573,28.642857142857142,0.7423571428571429,13.892857142857142,29.5,43.392857142857146,20.0,9.071428571428571,5.392857142857143,14.785714285714286,19.678571428571427,99.07142857142857,6.821428571428571,29700993.85714286,28.0,0,0,2,4,240.0,32.8,73.0,0.449,6.8,18.0,0.375,26.0,55.0,0.473,15.3,22.3,0.685,11.0,29.0,40.0,17.0,7.8,4.8,12.8,23.5,87.5,97.10000000000002,105.18518518518519,113.28571428571432,1592.5740258390983,2
Atlanta Hawks,ATL,21998,1610612737.0,0.5263157894736842,31.789473684210527,76.89473684210526,0.41326315789473683,3.0526315789473686,10.421052631578947,0.28689473684210526,20.263157894736842,28.36842105263158,0.7108947368421052,13.842105263157896,29.736842105263158,43.578947368421055,16.68421052631579,7.2631578947368425,5.105263157894737,15.0,20.157894736842106,86.89473684210526,2.526315789473684,29800131.10526316,19.0,1610612737.0,0.6774193548387096,30.161290322580644,74.16129032258064,0.40548387096774197,4.483870967741935,14.387096774193548,0.3003225806451613,21.129032258064516,28.483870967741936,0.7481935483870967,13.32258064516129,30.129032258064516,43.45161290322581,15.0,6.709677419354839,5.258064516129032,14.806451612903226,19.483870967741936,85.93548387096774,3.129032258064516,29800488.451612905,31.0,0,0,2,9,240.0,28.6,74.6,0.383,4.8,15.3,0.312,23.8,59.2,0.402,17.8,23.1,0.769,12.0,26.9,38.9,13.9,8.1,4.0,13.3,19.4,79.7,80.0,91.31578947368419,90.19354838709675,1588.1287845972722,2
Atlanta Hawks,ATL,22007,1610612737.0,0.4230769230769231,35.03846153846154,79.21153846153847,0.44313461538461535,3.7884615384615383,11.5,0.31884615384615383,21.173076923076923,27.442307692307693,0.7703076923076922,12.461538461538462,29.48076923076923,41.94230769230769,21.057692307692307,7.711538461538462,5.846153846153846,15.211538461538462,21.46153846153846,95.03846153846153,-2.3076923076923075,20700410.153846152,52.0,1610612737.0,0.5,38.43333333333333,81.1,0.4745666666666667,6.233333333333333,16.0,0.3861,20.633333333333333,26.666666666666668,0.7720666666666667,12.0,30.7,42.7,23.633333333333333,6.633333333333334,4.8,14.4,18.566666666666666,103.73333333333333,-0.9666666666666667,20701009.466666665,30.0,0,0,0,7,240.0,29.3,71.3,0.411,4.0,12.4,0.322,25.3,58.9,0.43,24.6,31.4,0.782,11.6,26.7,38.3,17.4,4.3,5.7,15.9,20.1,87.1,88.09999999999998,105.94230769230766,118.4,1446.8782101811182,1
Atlanta Hawks,ATL,22008,1610612737.0,0.5925925925925926,35.925925925925924,78.98148148148148,0.45585185185185184,7.685185185185185,20.72222222222222,0.37131481481481476,19.166666666666668,26.074074074074073,0.736074074074074,10.666666666666666,29.555555555555557,40.22222222222222,20.98148148148148,7.611111111111111,4.666666666666667,12.925925925925926,20.09259259259259,98.70370370370371,1.6296296296296295,20800412.314814813,54.0,1610612737.0,0.5357142857142857,36.285714285714285,78.07142857142857,0.4648928571428571,6.5,18.357142857142858,0.3552142857142857,17.928571428571427,24.178571428571427,0.7428571428571429,10.5,29.142857142857142,39.642857142857146,18.714285714285715,6.857142857142857,4.428571428571429,12.5,18.75,97.0,1.4642857142857142,20801014.464285713,28.0,0,0,0,11,240.0,30.1,73.6,0.409,6.1,17.5,0.347,24.0,56.1,0.428,17.7,23.8,0.744,10.7,24.2,34.9,16.9,6.9,3.4,12.1,21.4,84.0,84.40000000000003,109.29629629629629,106.10714285714286,1520.7020453797604,1
