,,Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988,0,1.0,Seattle Supersonics,5,240.0,46.0,89.2,0.516,2.2,7.8,0.282,43.8,81.4,0.538,20.0,28.4,0.704,13.8,30.8,44.6,27.6,5.2,4.0,15.4,29.8,114.2
1988,1,2.0,Denver Nuggets,11,240.0,42.0,93.0,0.452,3.0,10.9,0.275,39.0,82.1,0.475,23.8,28.8,0.826,15.1,27.2,42.3,22.9,6.8,4.8,11.3,24.7,110.8
1988,2,3.0,San Antonio Spurs,3,240.0,45.7,97.0,0.471,2.3,6.7,0.35,43.3,90.3,0.48,16.0,22.3,0.716,15.0,23.3,38.3,27.7,11.0,3.7,18.0,24.0,109.7
1988,3,4.0,Atlanta Hawks,12,240.0,42.6,84.7,0.503,1.2,4.5,0.259,41.4,80.2,0.517,22.3,28.3,0.785,12.7,26.1,38.8,26.4,7.6,5.1,12.1,26.2,108.6
1988,4,5.0,Milwaukee Bucks,5,240.0,39.8,83.2,0.478,1.4,5.2,0.269,38.4,78.0,0.492,27.6,35.8,0.771,16.0,28.0,44.0,24.6,6.6,3.4,15.2,24.6,108.6
1988,5,6.0,Dallas Mavericks,17,240.0,42.9,86.6,0.496,1.5,5.5,0.269,41.5,81.2,0.511,20.5,27.2,0.755,16.4,28.4,44.8,24.2,7.4,5.1,14.9,20.8,107.9
1988,6,7.0,Los Angeles Lakers,24,240.0,40.8,81.8,0.499,2.4,6.0,0.393,38.5,75.7,0.508,21.5,27.7,0.779,13.0,27.5,40.5,25.9,7.2,4.7,14.0,21.2,105.6
1988,7,8.0,Houston Rockets,4,240.0,39.0,86.3,0.452,2.3,6.3,0.36,36.8,80.0,0.459,24.3,29.5,0.822,16.0,28.0,44.0,19.8,8.0,4.3,14.8,22.5,104.5
1988,8,9.0,Portland Trail Blazers,4,240.0,41.0,96.0,0.427,2.5,7.8,0.323,38.5,88.3,0.436,19.8,26.3,0.752,19.0,29.0,48.0,22.5,9.8,4.3,16.3,29.0,104.3
1988,9,10.0,Boston Celtics,17,244.4,37.9,79.7,0.476,2.4,6.8,0.345,35.6,72.9,0.488,25.2,30.9,0.816,11.9,28.5,40.4,26.8,6.0,4.8,14.9,22.5,103.5
1988,10,11.0,Utah Jazz,11,240.0,38.4,79.5,0.483,2.3,5.5,0.417,36.1,74.0,0.488,24.4,31.5,0.772,10.5,27.7,38.3,25.5,7.6,6.6,16.3,22.4,103.4
1988,11,12.0,Cleveland Cavaliers,5,240.0,40.0,80.6,0.496,1.0,4.8,0.208,39.0,75.8,0.515,19.4,26.4,0.735,12.0,28.4,40.4,23.8,5.8,6.4,15.6,19.4,100.4
1988,12,13.0,Detroit Pistons,23,244.3,38.4,82.6,0.465,0.9,3.5,0.259,37.5,79.1,0.474,22.0,29.2,0.754,14.0,30.3,44.3,22.3,7.4,4.6,13.8,25.8,99.7
1988,13,14.0,New York Knicks,4,240.0,38.3,87.0,0.44,4.0,11.8,0.34,34.3,75.3,0.455,18.8,23.0,0.815,13.5,27.3,40.8,25.5,8.3,5.3,15.8,28.8,99.3
1988,14,15.0,Washington Bullets,5,245.0,36.4,79.0,0.461,0.2,1.8,0.111,36.2,77.2,0.469,24.2,32.8,0.738,13.4,24.6,38.0,16.4,7.0,5.2,15.2,24.6,97.2
1988,15,16.0,Chicago Bulls,10,240.0,38.4,85.1,0.451,0.8,3.1,0.258,37.6,82.0,0.459,17.2,21.2,0.811,14.3,28.7,43.0,23.4,7.1,4.0,14.9,23.8,94.8
1988,16,,League Average,10,241.3,40.2,84.3,0.478,1.8,5.8,0.314,38.4,78.5,0.49,22.0,28.4,0.777,13.8,28.1,41.9,24.4,7.2,4.8,14.4,23.7,104.3
1989,0,1.0,Phoenix Suns,12,240.0,45.0,95.1,0.473,2.8,8.8,0.314,42.3,86.3,0.489,25.6,30.4,0.841,16.9,33.4,50.3,27.5,9.3,4.6,15.8,22.8,118.3
1989,1,2.0,Denver Nuggets,3,240.0,43.3,94.7,0.458,5.3,13.0,0.41,38.0,81.7,0.465,20.7,25.7,0.805,12.0,32.3,44.3,24.0,7.7,1.7,16.7,29.0,112.7
