Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS\
1,Milwaukee Bucks,5,245,44,92.6,0.475,15.6,41.2,0.379,28.4,51.4,0.553,15.2,21.4,0.71,10.2,34.2,44.4,26.8,6.6,3.6,14.4,18.8,118.8\
2,Denver Nuggets,15,241.7,43.2,88.1,0.49,12.1,31.4,0.386,31.1,56.7,0.548,17.9,21.9,0.815,10.5,33.7,44.2,25.9,7.1,3.9,11.4,20.5,116.4\
3,Atlanta Hawks,6,240,44,96.3,0.457,14,37.3,0.375,30,59,0.508,13.8,17,0.814,12.2,31.7,43.8,24.5,7.7,4.8,12.8,16.3,115.8\
4,Los Angeles Clippers,5,240,40.8,88.6,0.46,12.2,33.8,0.361,28.6,54.8,0.522,21.8,26.4,0.826,11.8,28.2,40,21.6,6.6,4.2,14,23,115.6\
5,Phoenix Suns,11,240,43.1,86.8,0.496,9.4,25.8,0.363,33.7,61,0.553,18.6,23.4,0.798,9.2,30.8,40,24.5,6.3,5.6,12.1,22,114.2\
6,Sacramento Kings,7,240,41,95.6,0.429,12.1,39.7,0.306,28.9,55.9,0.517,19.6,25.7,0.761,14,33.7,47.7,22,7.7,4.3,14.1,22.6,113.7\
7,Boston Celtics,19,241.3,41.3,85.7,0.482,14.3,38.5,0.372,27,47.2,0.572,16.5,20.4,0.809,9.4,33.8,43.2,24.5,6,6.5,12.3,17.4,113.4\
8,Golden State Warriors,13,240,41.9,93.6,0.448,14.5,42.5,0.34,27.5,51.1,0.538,14.8,19.7,0.75,12.5,34.5,47.1,28.2,7.2,4.6,14.4,22.9,113.1\
9,Los Angeles Lakers,16,241.6,41.1,87.1,0.471,10.1,30.3,0.335,30.9,56.9,0.544,20.1,24.8,0.809,9.1,35.6,44.6,24.9,6.8,6.4,11.9,17.4,112.3\
10,Miami Heat,17,241.5,40.8,86.5,0.471,13.1,33.9,0.385,27.7,52.6,0.527,17.6,21.9,0.804,9.2,31.7,40.9,23.6,7.4,3.5,12.3,20.5,112.2\
11,Minnesota Timberwolves,5,245,37.8,82.6,0.458,11.2,32.2,0.348,26.6,50.4,0.528,18.6,24.2,0.769,8.4,30.8,39.2,22.6,6.6,4.8,12.8,21.6,105.4\
12,Memphis Grizzlies,6,244.2,38.3,95.3,0.402,12,38.5,0.312,26.3,56.8,0.463,16,19.2,0.835,13.2,33.3,46.5,23.3,6.7,3.5,13,20.5,104.7\
13,Philadelphia 76ers,11,242.3,36.7,84,0.437,12.2,33.9,0.359,24.5,50.1,0.49,16.9,19.1,0.886,10,33,43,19.1,7.6,5.3,12.4,18.7,102.5\
14,New York Knicks,11,240,35.3,81.5,0.433,9.5,32.7,0.292,25.7,48.7,0.528,20,26.8,0.746,12.9,32.5,45.4,18.7,7,4.5,14.6,19.5,100.1\
15,Cleveland Cavaliers,5,240,35.2,78.4,0.449,10,30.6,0.327,25.2,47.8,0.527,13.8,18.6,0.742,9.2,28,37.2,22,6.8,4,15.8,20.4,94.2\
16,Brooklyn Nets,4,240,34,77.3,0.44,11.3,34.5,0.326,22.8,42.8,0.532,13.3,18.3,0.726,5.8,29.3,35,22.3,5.3,3.8,12.3,15.5,92.5\
,League Average,8,241.3,40.4,87.5,,12.2,34.6,,28.2,52.9,0.533,17.4,22,,10.4,32.8,43.2,23.7,6.9,4.8,12.9,19.8,110.4}
